# poker.academy CE-Symmetric — 10bb vsopen | hero HJ vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 10bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,fold,0.1398
55,jam,0.8602
66,jam,1.0
88,jam,1.0
99,jam,1.0
AA,jam,1.0
AKs,jam,1.0
AQs,jam,1.0
AJs,jam,1.0
ATs,jam,1.0
A9s,jam,1.0
A8s,jam,1.0
A7s,jam,1.0
A6s,fold,0.7501
A6s,jam,0.2499
A5s,jam,1.0
A4s,jam,1.0
A3s,jam,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,jam,1.0
KJs,jam,1.0
AQo,jam,1.0
QQ,jam,1.0
QJs,jam,1.0
AJo,jam,1.0
JJ,jam,1.0
ATo,jam,1.0
TT,jam,1.0
