# poker.academy CE-Symmetric — 100bb vsopen | hero SB vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,1.0
99,call,0.9121
99,threeBet,0.0879
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,0.3119
AJs,threeBet,0.6881
ATs,threeBet,1.0
A9s,call,0.776
A9s,threeBet,0.224
A8s,call,0.8701
A8s,threeBet,0.1299
A7s,call,0.9321
A7s,threeBet,0.0679
A6s,call,0.7902
A6s,threeBet,0.2098
A5s,call,0.432
A5s,threeBet,0.568
A4s,call,0.5861
A4s,threeBet,0.4139
A3s,call,0.712
A3s,threeBet,0.288
A2s,call,1.0
AKo,call,0.1398
AKo,threeBet,0.8602
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,call,0.358
KJs,threeBet,0.642
KTs,call,0.6079
KTs,threeBet,0.3921
K9s,call,0.8602
K9s,threeBet,0.1398
K8s,call,0.8922
K8s,fold,0.1078
K7s,call,0.0999
K7s,fold,0.9001
K6s,call,0.862
K6s,fold,0.138
AQo,call,0.9321
AQo,threeBet,0.0679
KQo,call,0.9501
KQo,threeBet,0.0499
QQ,threeBet,1.0
QJs,call,0.2418
QJs,threeBet,0.7582
QTs,call,0.514
QTs,threeBet,0.486
Q9s,call,0.814
Q9s,threeBet,0.186
AJo,call,1.0
KJo,call,0.3819
KJo,fold,0.6181
JJ,call,0.39
JJ,threeBet,0.61
JTs,call,0.814
JTs,threeBet,0.186
J9s,call,0.754
J9s,threeBet,0.246
ATo,call,0.3979
ATo,fold,0.6021
TT,call,0.7241
TT,threeBet,0.2759
T9s,call,0.5861
T9s,threeBet,0.4139
T8s,call,0.8762
T8s,threeBet,0.1238
98s,call,0.7941
98s,fold,0.144
98s,threeBet,0.0619
87s,call,0.5901
87s,threeBet,0.4099
76s,call,0.534
76s,threeBet,0.466
65s,call,0.6
65s,threeBet,0.4
54s,call,0.6
54s,threeBet,0.4
